Country,Subtopic,Status,Justification
Democratic Peoples Republic of Korea (North Korea; DPRK),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Democratic Peoples Republic of Korea (North Korea; DPRK),Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Democratic Peoples Republic of Korea (North Korea; DPRK),Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Democratic Peoples Republic of Korea (North Korea; DPRK),Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Democratic Republic of Congo (DRC),Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Democratic Republic of Congo (DRC),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Democratic Republic of Congo (DRC),Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Democratic Republic of Congo (DRC),Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Democratic Republic of Congo (DRC),Contractual terms,Access is restricted but contract requirements not addressed,"The need for an agreement between user and originator is implied, however there are no obligations to formalise these in a contract"
Democratic Republic of Congo (DRC),Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Democratic Republic of Congo (DRC),Compliance,No compliance mechanisms in place in ABS legislation,"There were no specified compliance mechanisms, defined as checks, monitors, or enforcement agents, outlined in the legislation."
Democratic Republic of Congo (DRC),Legal sanctions,Fines and criminalization,Fines and imprisonment is outlined for breaching the terms of access and benefit-sharing
Denmark,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Denmark,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Denmark,Access to resources,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Denmark,Prior informed consent (PIC),Access is unrestricted,"There are no specified consent-seeking processes for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Denmark,Contractual terms,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Denmark,Benefit-sharing,Access is unrestricted,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Denmark,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Denmark,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions."
Djibouti,Scope of legislation,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Djibouti,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Djibouti,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Djibouti,Prior informed consent (PIC),Access is restricted but PIC is not addressed,There are no substantive mentions of this subject in the available legislation
Djibouti,Contractual terms,Access is restricted but contract requirements not addressed,There are no substantive mentions of this subject in the available legislation
Djibouti,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Djibouti,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Djibouti,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Dominica,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Dominica,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Dominica,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Dominica,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Dominica,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Dominica,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Dominica,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Dominica,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Dominican Republic,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Dominican Republic,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Dominican Republic,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Dominican Republic,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Dominican Republic,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Dominican Republic,Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Dominican Republic,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Dominican Republic,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Ecuador,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Ecuador,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Ecuador,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Ecuador,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Ecuador,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Ecuador,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Ecuador,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Ecuador,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Egypt,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Egypt,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Egypt,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Egypt,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Egypt,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Egypt,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Egypt,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Egypt,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
El Salvador,Scope of legislation,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
El Salvador,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
El Salvador,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
El Salvador,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
El Salvador,Contractual terms,Access is restricted but contract requirements not addressed,"While the acquisition of the appropriate permits is required, there are no outlined requirements for contracts such as mutually agreed terms or benefit-sharing agreements."
El Salvador,Benefit-sharing,Access is restricted but benefit-sharing is not addressed,There are no specified benefit-sharing requirements for access to genetic resources from this country. 
El Salvador,Compliance,No compliance mechanisms in place in ABS legislation,There are no substantive mentions of this subject in the available legislation
El Salvador,Legal sanctions,Fines and criminalization,"Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions."
Equatorial Guinea,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Equatorial Guinea,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Equatorial Guinea,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Equatorial Guinea,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Equatorial Guinea,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Equatorial Guinea,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Equatorial Guinea,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Equatorial Guinea,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Eritrea,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Eritrea,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Eritrea,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Eritrea,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Eritrea,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Eritrea,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Eritrea,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Eritrea,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Estonia,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Estonia,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Estonia,Access to resources,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Estonia,Prior informed consent (PIC),Access is unrestricted,"There are no specified consent-seeking processes for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Estonia,Contractual terms,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Estonia,Benefit-sharing,Access is unrestricted,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Estonia,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Estonia,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Eswatini (Swaziland),Scope of legislation,Legislation covers genetic resources (including microorganisms),"The Environmental Act establishes Eswatini's sovereignty over its genetic resources, although does not delve further on pathways to access."
Eswatini (Swaziland),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Eswatini (Swaziland),Access to resources,Access is restricted,"The Environmental Act establishes Eswatini's sovereignty over its genetic resources, although does not delve further on pathways to access."
Eswatini (Swaziland),Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Eswatini (Swaziland),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Eswatini (Swaziland),Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Eswatini (Swaziland),Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Eswatini (Swaziland),Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Ethiopia,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Ethiopia,Digital sequence information (DSI),DSI is included,"Ethiopia considers DSI to fall under the scope of ""genetic resources"", and as such is subject to ABS legislation."
Ethiopia,Access to resources,Access is restricted,"Access is granted differently for commercial or non-commercial purposes, with special circumstances allowed for research relating to conservation, food, and agriculture under multilateral agreements."
Ethiopia,Prior informed consent (PIC),Access is restricted and PIC is required,"The Regulations outline both an Access Permit procedure with the CNA, as well as a Community Consent procedure, both of which must be honoured."
Ethiopia,Contractual terms,Access is restricted and contract is required,"As benefits are provided in the form of a one-off Access Payment, further contractual models beyond the access permit are not used."
Ethiopia,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Prescribed monetary benefits are upfront in the form of ""Access Money"". Other forms of monetary and non-monetary benefits are suggested in the Proclamation and are subject to negotiations."
Ethiopia,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Ethiopia,Legal sanctions,"""Fines, criminalization, and access restrictions""","Non-compliance is punished by confisction of the accessed genetic resource, cancellation of the access permit, imprisonment, and monetary fines. "
Fiji,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Fiji,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Fiji,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Fiji,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Fiji,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Fiji,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Fiji,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Fiji,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Finland,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Finland,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Finland,Access to resources,Access is restricted,"Access to the resource within this territory is restricted and subject to preliminary processes. While this legislation centers this process around traditional Saami knowledge, it does not exclude its applicability on broader genetic resources within Finland."
Finland,Prior informed consent (PIC),Access is restricted and PIC is required,"The legislation includes a consent-seeking process in order to access resources. While this legislation centers this process around traditional Saami knowledge, it does not exclude its applicability on broader genetic resources within Finland."
Finland,Contractual terms,Access is restricted and contract is required,"The competent Authority sets out to establish mutually agreed terms between the user and donor. While this legislation centers this process around traditional Saami knowledge, it does not exclude its applicability on broader genetic resources within Finland."
Finland,Benefit-sharing,Access is restricted but benefit-sharing is not addressed,"Benefit-sharing is outlined as a possible element, although not necessarily requirement of the mutually agreed terms for access to resources. While this legislation centers this process around traditional Saami knowledge, it does not exclude its applicability on broader genetic resources within Finland."
Finland,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Finland,Legal sanctions,Fines and criminalization,"Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions."
France,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
France,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
France,Access to resources,Access is restricted,"Access to the resource within this territory is restricted, with exceptions made for certain circumstances including biodiversity and health research."
France,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
France,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
France,Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
France,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
France,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Gabon,Scope of legislation,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Gabon,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Gabon,Access to resources,No ABS legislation identified,"The Environmental Law of 2014 ""ensures the protection of genetic heritage (...) so as to prevent overexploitation or extinction"". However this is the only mention of genetic resources found in the active legislation, and as such was not deemed sufficient to constitute access restrictions."
Gabon,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gabon,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gabon,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gabon,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gabon,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gambia (Republic of The),Scope of legislation,No ABS legislation identified,"There are plans for future ABS legislation cover biological resources and traditional knowledge, but no active legislation could currently be found."
Gambia (Republic of The),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Gambia (Republic of The),Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gambia (Republic of The),Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gambia (Republic of The),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gambia (Republic of The),Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gambia (Republic of The),Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Gambia (Republic of The),Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Georgia,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Georgia,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Georgia,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Georgia,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Georgia,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Georgia,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Georgia,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Georgia,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Germany,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Germany,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Germany,Access to resources,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Germany,Prior informed consent (PIC),Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Germany,Contractual terms,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Germany,Benefit-sharing,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Germany,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Germany,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Ghana,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Ghana,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Ghana,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Ghana,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Ghana,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Ghana,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Ghana,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Ghana,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Greece,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Greece,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Greece,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Greece,Prior informed consent (PIC),Access is restricted but PIC is not addressed,"There are no specified consent-seeking processes for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Greece,Contractual terms,Access is restricted but contract requirements not addressed,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Greece,Benefit-sharing,Access is restricted but benefit-sharing is not addressed,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Greece,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Greece,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of these rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Grenada,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Grenada,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Grenada,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Grenada,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Grenada,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Grenada,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Grenada,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Grenada,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guatemala,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Guatemala,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Guatemala,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Guatemala,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Guatemala,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Guatemala,Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
Guatemala,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Guatemala,Legal sanctions,Access restrictions,"Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may be applied as penalties."
Guinea,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Guinea,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea Bissau,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea Bissau,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Guinea Bissau,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea Bissau,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea Bissau,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea Bissau,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea Bissau,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guinea Bissau,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Guyana,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Guyana,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Guyana,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Guyana,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Guyana,Contractual terms,Access is restricted and contract is required,A certificate outlining the agreed terms of exchange is required prior to the export of genetic materials.
Guyana,Benefit-sharing,Access is restricted and benefit-sharing is mandated,There are minimum requirements including non-monetary (co-authorship and involvement of guyanese nationals) and monetary (royalties and sharing of profits)
Guyana,Compliance,No compliance mechanisms in place in ABS legislation,There are no substantive mentions of this subject in the available legislation
Guyana,Legal sanctions,No penalties specified,There are no substantive mentions of this subject in the available legislation
Haiti,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Haiti,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Haiti,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
